172.19.0.1 - - [04/Sep/2025:01:17:05 +0000] "GET /api/weather HTTP/1.1" 200 400 "-" "curl/7.68.0" rt=0.118 uct="0.001" uht="0.102" urt="0.119" upstream="172.19.0.2:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 408 "-" "curl/7.68.0" rt=0.141 uct="0.000" uht="0.117" urt="0.142" upstream="172.19.0.6:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 404 "-" "curl/7.68.0" rt=0.143 uct="0.001" uht="0.122" urt="0.144" upstream="172.19.0.4:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 395 "-" "curl/7.68.0" rt=0.011 uct="0.001" uht="0.006" urt="0.012" upstream="172.19.0.2:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 402 "-" "curl/7.68.0" rt=0.011 uct="0.001" uht="0.006" urt="0.012" upstream="172.19.0.6:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 391 "-" "curl/7.68.0" rt=0.012 uct="0.001" uht="0.007" urt="0.013" upstream="172.19.0.4:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 405 "-" "curl/7.68.0" rt=0.010 uct="0.000" uht="0.005" urt="0.010" upstream="172.19.0.2:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 402 "-" "curl/7.68.0" rt=0.009 uct="0.001" uht="0.005" urt="0.010" upstream="172.19.0.6:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 398 "-" "curl/7.68.0" rt=0.009 uct="0.000" uht="0.004" urt="0.009" upstream="172.19.0.4:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 396 "-" "curl/7.68.0" rt=0.008 uct="0.000" uht="0.003" urt="0.008" upstream="172.19.0.2:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 397 "-" "curl/7.68.0" rt=0.008 uct="0.000" uht="0.003" urt="0.008" upstream="172.19.0.6:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 398 "-" "curl/7.68.0" rt=0.007 uct="0.000" uht="0.003" urt="0.007" upstream="172.19.0.4:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 396 "-" "curl/7.68.0" rt=0.007 uct="0.000" uht="0.002" urt="0.006" upstream="172.19.0.2:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 407 "-" "curl/7.68.0" rt=0.009 uct="0.000" uht="0.004" urt="0.009" upstream="172.19.0.6:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 395 "-" "curl/7.68.0" rt=0.010 uct="0.000" uht="0.004" urt="0.009" upstream="172.19.0.4:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 397 "-" "curl/7.68.0" rt=0.009 uct="0.000" uht="0.003" urt="0.008" upstream="172.19.0.2:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 410 "-" "curl/7.68.0" rt=0.007 uct="0.000" uht="0.003" urt="0.007" upstream="172.19.0.6:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 395 "-" "curl/7.68.0" rt=0.008 uct="0.001" uht="0.003" urt="0.008" upstream="172.19.0.4:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 403 "-" "curl/7.68.0" rt=0.006 uct="0.000" uht="0.002" urt="0.006" upstream="172.19.0.2:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 398 "-" "curl/7.68.0" rt=0.006 uct="0.000" uht="0.003" urt="0.006" upstream="172.19.0.6:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 399 "-" "curl/7.68.0" rt=0.007 uct="0.000" uht="0.003" urt="0.007" upstream="172.19.0.4:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 394 "-" "curl/7.68.0" rt=0.007 uct="0.000" uht="0.002" urt="0.007" upstream="172.19.0.2:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 401 "-" "curl/7.68.0" rt=0.006 uct="0.001" uht="0.003" urt="0.007" upstream="172.19.0.6:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 398 "-" "curl/7.68.0" rt=0.007 uct="0.001" uht="0.003" urt="0.008" upstream="172.19.0.4:8080"
172.19.0.1 - - [04/Sep/2025:01:17:06 +0000] "GET /api/weather HTTP/1.1" 200 399 "-" "curl/7.68.0" rt=0.006 uct="0.000" uht="0.003" urt="0.007" upstream="172.19.0.2:8080"
